0,1,2,3,4,5
2615688,1,0.010355,99.9249,-64.6817,3.17637
2615688,3,0.0300632,99.9244,-64.6817,3.1761
2617058,1,0.06332,99.9725,38.8932,-2.24973
2617058,3,0.014114,99.9724,38.8932,-2.24959
2666822,1,0.00925,99.8482,-77.4747,7.92888
2666822,2,0.02775,99.8482,-77.4747,7.92937
2667169,1,0.00925,99.5476,2.20405,52.2207
2667169,3,0.0463172,99.5475,2.2032,52.2214
2712463,1,0.010355,99.0467,40.9463,-18.9992
2712463,3,0.0433721,99.0461,40.9461,-18.9999
2755002,1,0.06332,99.951,-21.3088,32.5884
2755002,3,0.0101089,99.951,-21.3089,32.5883
2804833,1,0.06332,99.8649,-72.31,17.8506
2804833,3,0.00219434,99.8649,-72.31,17.8506
2804904,1,0.00925,99.9256,1.73931,-71.6482
2804904,3,0.0355906,99.9255,1.74002,-71.6483
2804904,2,0.00015938,99.9557,1.73043,-71.6455
2807435,1,0.010876,99.3404,30.9168,-9.45844
2807435,3,0.0357342,99.3399,30.9173,-9.45862
2807687,1,0.06332,99.417,6.57785,-14.9019
2807687,3,0.0304476,99.4166,6.57811,-14.9015
2908407,1,0.00925,99.6545,-0.138879,-2.83485
2908407,3,0.0238301,99.6544,-0.138509,-2.83492
2959016,1,0.002499,99.796,-5.19859,-67.3033
2959016,3,0.107167,99.7943,-5.20181,-67.3052
2959046,1,0.06332,98.7803,-48.6506,64.7109
2959046,3,0.0285005,98.7799,-48.6507,64.7112
3100246,1,0.010876,99.7668,55.0374,40.0698
3100246,3,0.037065,99.7663,55.0377,40.0703
3150973,1,0.06332,99.5364,-31.1266,48.0756
3150973,2,0.01668,99.5362,-31.1266,48.0757
3151364,1,0.06332,99.8995,-67.3004,-5.23231
3151364,4,0.028507,99.8997,-67.3005,-5.23184
3200952,1,0.06332,99.6097,-22.0303,-50.1288
3200952,3,0.00599174,99.6096,-22.0303,-50.1287
3297837,1,0.06332,99.8086,0.232181,-61.7178
3297837,3,0.00489837,99.8086,0.232176,-61.7178
3345567,1,0.002499,99.7755,-42.3698,49.3717
3345567,3,0.0379151,99.7752,-42.3702,49.3724
3457974,1,0.001844,99.9351,-19.7894,-69.2852
3457974,3,0.0327755,99.9352,-19.789,-69.2857
3507314,1,0.06332,99.8154,-60.9948,19.98
3507314,3,0.0300219,99.8153,-60.9954,19.9799
3555104,1,0.010876,99.4194,-55.2821,49.2932
3555104,3,0.0383974,99.4189,-55.2825,49.2927
3555475,1,0.06332,99.9924,-70.6385,42.3883
3555475,4,0.0134979,99.9923,-70.6386,42.3883
3759212,1,0.06332,99.948,31.4437,-45.9086
3759212,3,0.0188096,99.9479,31.4438,-45.9089
3809766,1,0.00925,99.7156,42.9589,41.2278
3809766,3,0.0463193,99.7148,42.9592,41.2284
3860621,1,0.06332,99.9761,-13.3558,-76.551
3860621,3,0.00325721,99.9761,-13.3557,-76.551
3908817,1,0.06332,99.7555,24.6517,-29.955
3908817,5,0.0386365,99.7548,24.6521,-29.9549
4010083,1,0.06332,99.9787,13.4185,-33.2403
4010083,3,0.0201717,99.9784,13.4183,-33.2403
4060821,1,0.002499,-27.5036,-79.8164,-42.8689
4060821,4,0.0535708,-27.5046,-79.8163,-42.8699
4262658,1,0.00925,99.1792,-34.5803,29.657
4262658,3,0.0475568,99.1798,-34.5805,29.6561
4262918,1,0.010876,99.93,12.8469,8.4832
