#class tools::wcsv::ntuple
#title Particle Energy Data
#separator 44
#vector_separator 59
#column int EventID
#column int TrackID
#column double Edep
#column double PosX
#column double PosY
#column double PosZ
#column int DetectorID
1809951,2,0.06668,499.842,19.2663,-78.258,3
1811238,1,0.06332,499.903,-70.4914,-151.104,0
1811238,3,0.0108844,499.902,-70.4914,-151.104,0
1864077,1,0.010355,499.975,12.2854,-99.2518,3
1864077,3,0.0376218,499.975,12.2853,-99.251,3
1864353,1,0.06332,499.921,-45.095,-63.4072,1
1864353,3,0.0174778,499.921,-45.095,-63.407,1
1864547,1,0.00925,499.935,12.8675,-20.1204,3
1864547,3,0.047733,499.936,12.8681,-20.1213,3
1865491,1,0.06332,499.447,16.8051,-23.9508,3
1865491,3,0.0428862,499.446,16.806,-23.9511,3
1924566,1,0.002499,499.866,-8.13724,-72.1845,1
1924566,3,0.0719876,499.865,-8.13531,-72.1853,1
1971719,1,0.010876,498.623,18.8565,-116.639,2
1971719,3,0.0523161,498.623,18.8574,-116.638,2
1972932,1,0.010355,499.899,-20.5017,-53.1507,1
1972932,3,0.0343765,499.898,-20.5021,-53.1503,1
2030011,1,0.00925,499.694,-12.6542,-170.877,0
2030011,4,0.0430709,499.694,-12.6535,-170.878,0
2032132,1,0.00925,499.852,-28.0265,-103.847,0
2032132,3,0.0261089,499.851,-28.0264,-103.847,0
2033144,1,0.010355,499.56,31.0476,-26.9066,3
2033144,3,0.0375843,499.559,31.0475,-26.9059,3
2090168,1,0.06332,499.312,-8.08489,-96.74,1
2090168,3,0.0136841,499.313,-8.08481,-96.74,1
2090633,1,0.06332,342.141,-12.5966,-20.0097,1
2090633,3,0.00166324,342.141,-12.5966,-20.0097,1
2090649,1,0.00227,499.976,-31.7003,-69.7864,1
2090649,3,0.0799207,499.974,-31.7014,-69.7881,1
2091141,1,6.2e-05,479.882,63.4809,-20.0116,3
2091141,3,0.0481468,479.882,63.4817,-20.0117,3
2091782,1,0.06332,499.931,6.38595,-139.084,2
2091782,4,0.00474521,499.931,6.38593,-139.084,2
2091913,1,0.06332,499.93,-50.8349,-131.685,0
2091913,3,0.0147814,499.931,-50.835,-131.685,0
2160037,1,0.06332,499.942,34.5804,-49.8584,3
2160037,4,0.0426419,499.942,34.5812,-49.8585,3
2211910,1,0.00925,450.303,-67.9966,-20.0288,1
2211910,3,0.0402231,450.302,-67.9967,-20.0285,1
2211963,1,0.06332,499.889,26.9389,-173.073,2
2211963,3,0.00621242,499.889,26.9389,-173.073,2
2212259,1,0.00042,499.972,18.9797,-38.4366,3
2212259,3,0.0399945,499.973,18.9805,-38.4364,3
2258117,1,0.06332,499.915,-59.1229,-21.1509,1
2258117,3,0.0312215,499.914,-59.1232,-21.1514,1
2258241,1,0.010876,499.979,-21.1035,-114.18,0
2258241,3,0.0422788,499.979,-21.1038,-114.18,0
2258799,1,0.06332,499.52,-63.7063,-175.541,0
2258799,3,0.0144564,499.52,-63.7062,-175.541,0
2258954,1,0.00925,499.813,-22.0771,-161.546,0
2258954,3,0.0427047,499.813,-22.0765,-161.545,0
2259499,1,0.06332,499.949,9.8332,-40.414,3
